alexandra-nelson,The Collective,the-collective,1778 AT,tbd-207,Salty,salty
chris-cowper-smith,Jerk Factory,pogey-train,Red Circus,red-circus,Borderline,borderline,Jerk Factory,jerk-factory,1778 AT,tbd-207
andrea-patterson,The Collective,the-collective,1778 AT,tbd-207,Spawn,spawn
nadine-bourque,The Collective,the-collective,1778 AT,tbd-207
nat-deveau,High Tide Women,team-nb,The Collective,the-collective,Spawn,spawn,1778 AT,tbd-207,High Tide Open,team-nb
emilie-godbout-beaulieu,The Collective,the-collective,1778 AT,tbd-207
liane-johnson,The Collective,the-collective,1778 AT,tbd-207,Salty,salty
lisandra-naranjo,1778 AT,tbd-207
jessie-brown,1778 AT,tbd-207
allison-tannis,Eclipse,eclipse,Backdraft,backdraft,The Collective,the-collective,Braun Squad,braun-squad,Salty,salty,1778 AT,tbd-207
joy-stanistreet,The Collective,the-collective,1778 AT,tbd-207
colin-yeung,NSOM,nsom,Borderline,borderline,1778 AT,tbd-207,Maverick,maverick
vaughn-murphy-1,1778 AT,tbd-207
antonin-savoie,Borderline,borderline,1778 AT,tbd-207
bruno-lirette,1778 AT,tbd-207
alain-baillargeon,1778 AT,tbd-207
scott-underwood,Borderline,borderline,1778 AT,tbd-207
will-dumaresq,Borderline,borderline,1778 AT,tbd-207
josh-weston,Jerk Factory,jerk-factory,1778 AT,tbd-207
craig-smith-2,Borderline,borderline,1778 AT,tbd-207
michael-thorne,Red Circus,red-circus,Borderline,borderline,Jerk Factory,jerk-factory,1778 AT,tbd-207
jordan-pugh,Jerk Factory,jerk-factory,1778 AT,tbd-207
jd-lejeune,Borderline,borderline,1778 AT,tbd-207,Spawn,spawn
rosemary-carlton,Vintage,vintage,CUFM - Vintage,vintage,Storm,storm-112213,BoD,bod,ReUnion,reunion,Storm,storm
rob-gillis,BoD,bod
samuel-arsenault,Cherry Bomb,cherry-bomb,BoD,bod
genevieve-merat,Mystik,mystik,Cherry Bomb,cherry-bomb,BoD,bod,Battleship,battleship
lauren-hunt,CUFM - Vénus,venus,Storm,storm,BoD,bod,Vénus,venus
naomi-jackson,Mystik,mystik,X-Squad,x-squad,BoD,bod
francoise-delisle,CUFM - Vintage,vintage,Mystik,mystik,Vintage,vintage,BoD,bod
valerie-parent,Vénus,venus,Vega,vega,CUFM - Vénus,venus,BoD,bod,Storm,storm
catherine-ferland,CUFM - Vénus,venus,X-Squad,x-squad,BoD,bod,Vénus,venus
melanie-bosse,CUFM - Vénus,venus,BoD,bod,Vénus,venus
simone-vogel,CUFM - Vintage,vintage,Vintage,vintage,BoD,bod
melanie-roy-1,BoD,bod
louis-pierre-lauzon,CUFM - Vénus,venus,BoD,bod,Vénus,venus
mathieu-brisebois-boies,CUFM - Vénus,venus,Cherry Bomb,cherry-bomb,BoD,bod,Vénus,venus
dany-germain,Magma,magma,Sriracha,sriracha,BoD,bod
robert-battaglia,NSOM 2,nsom-2,BoD,bod,FUEL,fuel,ReUnion,reunion,NSOM,nsom
andy-yeoh,BoD,bod
chuck-cantone,BoD,bod
jean-francois-marcoux,Magma,magma,BoD,bod
nasser-mbae-vogel,Mockingbird,mockingbird,BoD,bod,NSOM,nsom
david-therriault,Cherry Bomb,cherry-bomb,FUEL,fuel,BoD,bod
chris-godek,Firefly,firefly
noelle-nelson,The Collective,the-collective,Firefly,firefly
alice-walton,Firefly,firefly
sarah-tenpas,Firefly,firefly
ginger-wong,Firefly,firefly
finley-baba-2,Firefly,firefly
dana-manochi,Firefly,firefly
mandy-chan,Firefly,firefly
kaitlin-marin,Firefly,firefly
bethany-angeliu,Firefly,firefly
drew-galiger,The Collective,the-collective,Firefly,firefly
peter-zellman,Firefly,firefly
timmy-reilly,Firefly,firefly
matt-stratton,Firefly,firefly
pradeep-nair-1,Firefly,firefly
chips-hoy,Firefly,firefly
paul-kantlehner-1,Firefly,firefly
jon-schlosberg-1,Firefly,firefly
rob-ross-1,Firefly,firefly
nigel-batchelor,Firefly,firefly,Pretty Boys and Handsome Girls,pretty-boys-and-handsome-girls,Lit,lit,Nonsuch,nonsuch
pamela-chalmers,Firefly,firefly
andrew-stevens-1,Firefly,firefly,Intrepid,intrepid
craig-mcfarlane,Firefly,firefly,Force,force
chantal-alary,Firefly,firefly
jennifer-campbell-1,Firefly,firefly,Mint,mint
valerie-pion,Firefly,firefly
liz-lapage,Firefly,firefly
jingting-ma,Firefly,firefly,Mint,mint,Nonsuch,nonsuch
amy-tran,Firefly,firefly,Banana Cutters,fight-club
amanda-mills-1,Firefly,firefly,Mint,mint
stacey-teetaert,Firefly,firefly,Mint,mint
jason-the-2,Torque,torque,Firefly,firefly,Intrepid,intrepid,Nonsuch,nonsuch
randy-villaverde,Firefly,firefly,Intrepid,intrepid
kevin-talgoy,Firefly,firefly,Intrepid,intrepid
anthony-slater,Flood,flood,Firefly,firefly,Intrepid,intrepid,Force,force
jason-bestland,Firefly,firefly
matthew-grant-2,Firefly,firefly
sean-restall,Firefly,firefly,Nonsuch,nonsuch
danny-nguyen,Nonsuch,nonsuch,Firefly,firefly,Banana Cutters,fight-club
jasmine-lim-1,Firefly,firefly
arianna-aldebot,Firefly,firefly
abby-karp-2,Firefly,firefly
danielle-kleidon,Firefly,firefly
erica-messner-1,Firefly,firefly
katie-zweber,Firefly,firefly
madelyn-wright,Firefly,firefly
jamie-blitz-lam,Firefly,firefly
manzanita-griffin,Firefly,firefly
daniel-greeley,Firefly,firefly
zack-purdy,The Collective,the-collective,Firefly,firefly
gus-kitchell,Firefly,firefly
jake-rifkin,Firefly,firefly
charley-vallejo-anderson,Firefly,firefly
austin-benavides-1,Firefly,firefly
sean-hyslop,Firefly,firefly
shane-tracy-1,Firefly,firefly
veera-sethuraman,The Collective,the-collective,MMV,mmv,Firefly,firefly
lauren-margolis,Firefly,firefly
katie-palmer,Firefly,firefly
jacqueline-bonner,The Collective,the-collective,Firefly,firefly
dan-dzoan,Firefly,firefly
simon-margolis,Firefly,firefly
stephen-cockerill-1,Firefly,firefly
nick-davis-2,Firefly,firefly
skylohr-taylor,Firefly,firefly
abe-mckay,The Collective,the-collective,Firefly,firefly
ryan-gerstmar,Flux,flux
dalton-hodge,Flux,flux
matt-schroeder-2,Flux,flux
faith-zwozdesky,Flux,flux
juliana-wong,Flux,flux
karen-laforge,Flux,flux
sarah-whiteside-1,Flux,flux
sarah-toews,Flux,flux
sharla-sawatzky,Flux,flux
nicole-peterson,Flux,flux
chad-sawatzky,Flux,flux
tyler-whiteside,Flux,flux
alan-valente,Flux,flux
