alix-ranger-1,Elder,elder,Luna Ultimate,luna-ultimate,Pushing Daisies,pushing-daisies
amanda-bennett,Elder,elder,Nebula,nebula
audrey-nuk,Elder,elder,Nebula,nebula,Pushing Daisies,pushing-daisies,Solstice,solstice
bridget-enright,Aurora,locustmasters,Elder,elder,Sting,sting
elise-ring,Elder,elder,Luna Ultimate,luna-ultimate,StellO,stello,Stella B,stella-b,Vesta,vesta
jennahfer-lafreniere,Elder,elder,Luna Ultimate,luna-ultimate,Stella B,stella-b,Vesta,vesta
mel-bouchard,Elder,elder,Nebula,nebula
sara-dunbrook,Elder,elder
stephanie-jack,Elder,elder,Nebula,nebula,Pushing Daisies,pushing-daisies
alessandro-colonnier,Elder,elder,Nationals,nationals,Pushing More Daisies,pushing-daisies-team
calvin-wiebe,Elder,elder,Pushing More Daisies,pushing-daisies-team
christopher-vickers-1,Elder,elder,Iron Crow,iron-crow,Pushing Daisies,pushing-daisies
jake-swart,Elder,elder
jeremiah-webster,Elder,elder,Red Circus,red-circus
kevin-hughes,Elder,elder
kevin-rabichow-1,Elder,elder,Union,union
ryan-kilpatrick,Elder,elder
shem-lau-chapdelaine,Elder,elder,Nationals,nationals,Shrike,shrike
tamir-stulberg-1,Crank,crank,Elder,elder,Fable,fable
tim-ambery,Elder,elder,Nor'Easter,noreaster,Pandamonium,pandamonium,Shrike,shrike,Spawn,spawn,Stella,stella,Too Bad,too-bad,Upstream,spawn,Wreckhouse,wreckhouse
uri-schoijett,Elder,elder,Pandamonium,pandamonium
amy-tran,Banana Cutters,fight-club,Fight Club,fight-club,Firefly,firefly
barb-signer,Firefly,firefly
dariene-cote-1,Firefly,firefly
emily-graham-2,Firefly,firefly
jennifer-saxe-1,Firefly,firefly
liz-lapage,Firefly,firefly,Red River Rebellion,red-river-rebellion
melanie-stevens,Firefly,firefly,Gaia Sale,gaia-sale,Mint,mint
tara-hull-1,Firefly,firefly
valerie-pion,Firefly,firefly
andrew-stevens-1,Firefly,firefly,Intrepid,intrepid
anthony-slater,Firefly,firefly,Force,force,Intrepid,intrepid
craig-mcfarlane,Firefly,firefly,Force,force
danny-nguyen,Banana Cutters,fight-club,Fight Club,fight-club,Firefly,firefly,Nonsuch,nonsuch
eric-robert,Firefly,firefly
jason-bestland,Firefly,firefly
justin-delorme,Firefly,firefly
michael-shaw-1,Firefly,firefly
wayne-nguyen,Firefly,firefly
chris-godek,Firefly,firefly
alice-walton,Firefly,firefly
bethany-angeliu,Firefly,firefly
dana-manochi,Firefly,firefly
finley-baba-2,Firefly,firefly
ginger-wong,Firefly,firefly
kaitlin-marin,Firefly,firefly
mandy-chan,Firefly,firefly
noelle-nelson,Firefly,firefly,The Collective,the-collective
sarah-tenpas,Firefly,firefly
chips-hoy,Firefly,firefly
drew-galiger,Firefly,firefly,The Collective,the-collective
jon-schlosberg-1,Firefly,firefly
matt-stratton,Firefly,firefly
paul-kantlehner-1,Firefly,firefly
peter-zellman,Firefly,firefly
pradeep-nair-1,Firefly,firefly
rob-ross-1,Firefly,firefly
timmy-reilly,Firefly,firefly
abby-karp-2,Firefly,firefly
arianna-aldebot,Firefly,firefly
danielle-kleidon,Firefly,firefly
erica-messner-1,Firefly,firefly
jamie-blitz-lam,Firefly,firefly,The Collective,the-collective
jasmine-lim-1,Firefly,firefly
katie-zweber,Firefly,firefly
madelyn-wright,Firefly,firefly
manzanita-griffin,Firefly,firefly
austin-benavides-1,Firefly,firefly
charley-vallejo-anderson,Firefly,firefly
daniel-greeley,Firefly,firefly
gus-kitchell,Firefly,firefly
jake-rifkin,Firefly,firefly
sean-hyslop,Firefly,firefly
shane-tracy-1,Firefly,firefly
zack-purdy,Firefly,firefly,The Collective,the-collective
kaitlin-stratton,Firefly,firefly
katie-palmer,Firefly,firefly
veera-sethuraman,6ixers,6ixers,Firefly,firefly,MMV,mmv,The Collective,the-collective
abe-mckay,Firefly,firefly,The Collective,the-collective
dan-dzoan,Firefly,firefly
simon-margolis,Firefly,firefly
stephen-cockerill-1,Firefly,firefly
jenna-borges,Firefly,firefly
lydia-auch-2,Firefly,firefly
amanda-cornfeld,Firefly,firefly
anna-sciaruto,Firefly,firefly
kate-zemke,Firefly,firefly
lydia-yiu,Firefly,firefly
malachi-wickman,Firefly,firefly
marcela-vazquez,Firefly,firefly
brent-kimmi-2,Firefly,firefly
conor-mcnamara-2,Firefly,firefly
david-adams-10,Firefly,firefly
devin-oliver,Firefly,firefly
eric-ma,Firefly,firefly
gabriel-taylor-1,Firefly,firefly
miles-burnette-1,Firefly,firefly
nico-gurney-1,Firefly,firefly
skylohr-taylor,Firefly,firefly
winston-chang,Firefly,firefly
zachary-ormsby,Firefly,firefly
anna-verwillow-2,Firefly,firefly
ananya-karthik,Firefly,firefly
annie-chang-1,Firefly,firefly
caroline-dee,Firefly,firefly
cheryl-tain,Firefly,firefly
claire-beamer,Firefly,firefly
clara-macavoy,Firefly,firefly
devy-weir,Firefly,firefly
edith-pan,Firefly,firefly
hannah-cussen,Firefly,firefly
haruka-ito,Firefly,firefly
ireh-kim,Firefly,firefly
jolene-lee,Firefly,firefly
karen-ge,Firefly,firefly
kassadey-delgado,Firefly,firefly
kate-callon,Firefly,firefly
kate-esbenshade,Firefly,firefly
kayla-huemer-1,Firefly,firefly
kiana-hu,Firefly,firefly
kylie-creighton,Firefly,firefly
lauren-simitz,Firefly,firefly
lindsey-holiday,Firefly,firefly
lindsey-mckhann,Firefly,firefly
luomei-lyu,Firefly,firefly
maria-jose-lozano,Firefly,firefly
maya-harris,Firefly,firefly
noelle-amlike,Firefly,firefly
rachel-lit,Firefly,firefly
sahej-claire,Firefly,firefly
sarah-bloom,Firefly,firefly
sera-wang,Firefly,firefly
shaili-mathur,Firefly,firefly
shirley-zhang-1,Firefly,firefly
sofie-slott,Firefly,firefly
stephanie-jackson-1,Firefly,firefly
sydney-jones,Firefly,firefly
tanvi-dutta-gupta,Firefly,firefly
xinyi-yang,Firefly,firefly
zadie-schaffer-1,Firefly,firefly
zarah-tesfai-1,Firefly,firefly
zinnia-cooperrider,Firefly,firefly
aurelie-reynaud,Eclipse,eclipse,Flammes en rose,flammes-en-rose,S'a-coche,les-sa-coches,Vega,vega,X-Squad,x-squad
eve-brillant,Flammes en rose,flammes-en-rose,Red Fox,red-fox,Valkyrie,valkyrie
genevieve-masse,EXO,exo,Flammes en rose,flammes-en-rose
jessica-goulet-hadwin-1,Artemis,artemis,Flammes en rose,flammes-en-rose,Loyal.e,loyale
kim-bilodeau,Cherry Bomb,cherry-bomb,Flammes en rose,flammes-en-rose,Mystik,mystik
laurence-lachance-touchette,Flammes en rose,flammes-en-rose,Loyal.e,loyale,Valkyrie,valkyrie
marie-claude-methot,Flammes en rose,flammes-en-rose
sammy-grenier,Amiral,amiral,Flammes en rose,flammes-en-rose,Harfang,harfang
valerie-pouliot,Flammes en rose,flammes-en-rose
antoine-cloutier,Animals,animals,EXO,exo,Flammes en rose,flammes-en-rose,Red Fox,red-fox
bao-trinh,Flammes en rose,flammes-en-rose
eric-st-cyr,Flammes en rose,flammes-en-rose
joel-bessette,FUEL,fuel,Flammes en rose,flammes-en-rose,Loyal.e,loyale
jonathan-boyer,Flammes en rose,flammes-en-rose
kristian-gauthier,Flammes en rose,flammes-en-rose
nicholas-fabel,Flammes en rose,flammes-en-rose,Magma,magma
philippe-denis-villeneuve,Flammes en rose,flammes-en-rose
pierre-yves-dube,Flammes en rose,flammes-en-rose
quentin-frydlender,Flammes en rose,flammes-en-rose,Too Bad,too-bad
sebastien-nadon,Club M - Manic,club-m-manic,FUEL,fuel,Flammes en rose,flammes-en-rose,Loyal.e,loyale,NSOM,nsom
simon-barrette-bilodeau,Flammes en rose,flammes-en-rose
karine-gaudreault,Animals,animals,Flammes en rose,flammes-en-rose,Quasar,quasar
linda-ngo,Flammes en rose,flammes-en-rose,Magmarok,magmarok,Valkyrie,valkyrie
veronique-cormier,Flammes en rose,flammes-en-rose,Valkyrie,valkyrie
alexandre-palardy,Flammes en rose,flammes-en-rose
david-letourneau,Animals,animals,Ascension,ascension,Flammes en rose,flammes-en-rose,Sherbrooke Gentlemen's CLub,sherbrooke-gentlemens-club,Sherbrooke gentlemen’s club,sherbrooke-gentlemenas-club
laurence-ruelens-lepoutre,Flammes en rose,flammes-en-rose,Quack,quack,Quake,quake,Sherbrooke Gentlemen's CLub,sherbrooke-gentlemens-club
raphael-louis-lemieux-1,Flammes en rose,flammes-en-rose
alexa-skinner,Flow,flow,TOX6ix,tox6ix,Zen,zen
allison-soong,Flow,flow,Nox,nox,Zen,zen
emily-chow-2,Flow,flow,MMV,mmv,Toronto Remix,toronto-remix
gene-bodzeta,Flow,flow,Nox,nox
helen-yang-3,Flow,flow
janice-wong-2,Flow,flow,MMV,mmv
joanne-ukposidolo,Flow,flow,Lore,lore
kristene-griffis,Flow,flow,Lore,lore,Magmarok,magmarok,Zen,zen
lindsay-chong-1,Flow,flow,Kombucha Culture,kombucha-culture,Magmarok,magmarok,Zen,zen
rosalind-sham,Flow,flow,Lore,lore,TOX6ix,tox6ix,Zen,zen
salina-chan-1,Danger Noodle,danger-noodle,Flow,flow,Force,force,Zen,zen
arthur-chu,Flow,flow,Magmarok,magmarok,Zen,zen
colin-mattison,Flow,flow,ROY,roy,Too Bad,too-bad,Viper,viper,Zen,zen
david-ip,Danger Noodle,danger-noodle,Flow,flow,ROY,roy,Too Bad,too-bad,Zen,zen
donald-kwok,Danger Noodle,danger-noodle,Flow,flow,MMV,mmv,Magmarok,magmarok,Too Bad,too-bad
jim-hui,Bingo & Chill,bingo-chill,FUEL,fuel,Flow,flow,Still,still
jon-david,Flow,flow,Kombucha Culture,kombucha-culture,Magmarok,magmarok,Skerj,skerj
ken-le,Flow,flow,Magmarok,magmarok
kyle-mineque,BOAT,boat,Flow,flow,Magmarok,magmarok
ludwik-sobiesiak,Flow,flow,Too Bad,too-bad
oscar-bodzeta,Flow,flow,Too Bad,too-bad
terrence-cheung,Danger Noodle,danger-noodle,Flow,flow,MMV,mmv,Magmarok,magmarok
christian-schaffner,Flow,flow
julia-ose,Flow,flow
reggi-hensen,Flow,flow
suzanne-delwel,Flow,flow
andrea-stavenuiter,Flow,flow
anouk-boukema,Flow,flow
carly-blair,Flow,flow
ciska-de-wilde,Flow,flow
